Years,Date,Teams,INT,INT_TD,INT_YDS,LNG
2021,2021,49ers,9,2,136,40
2021,2021,Bears,8,1,135,53
2021,2021,Bengals,13,1,266,65
2021,2021,Bills,19,1,238,26
2021,2021,Broncos,13,1,221,70
2021,2021,Browns,13,1,148,99
2021,2021,Buccaneers,17,2,177,31
2021,2021,Cardinals,13,1,247,77
2021,2021,Chargers,11,0,70,26
2021,2021,Chiefs,15,2,160,75
2021,2021,Colts,19,0,175,32
2021,2021,Cowboys,26,5,405,66
2021,2021,Dolphins,14,3,175,85
2021,2021,Eagles,12,2,142,51
2021,2021,Falcons,12,2,202,66
2021,2021,Redskins,11,2,120,31
2021,2021,Giants,15,1,135,41
2021,2021,Jaguars,7,0,57,23
2021,2021,Jets,7,1,114,32
2021,2021,Lions,11,0,108,50
2021,2021,Packers,18,2,164,55
2021,2021,Panthers,9,0,103,29
2021,2021,Patriots,23,3,322,88
2021,2021,Raiders,6,0,68,35
2021,2021,Rams,19,0,192,34
2021,2021,Ravens,9,1,38,21
2021,2021,Saints,18,2,313,53
2021,2021,Seahawks,11,0,92,29
2021,2021,Steelers,13,0,105,41
2021,2021,Texans,17,1,295,82
2021,2021,Titans,16,2,128,24
2021,2021,Vikings,16,2,256,66
2020,2020,49ers,12,1,123,51
2020,2020,Bears,10,0,81,33
2020,2020,Bengals,11,0,84,30
2020,2020,Bills,15,2,184,51
2020,2020,Broncos,10,0,130,46
2020,2020,Browns,11,2,214,50
2020,2020,Buccaneers,15,1,171,37
2020,2020,Cardinals,11,0,129,90
2020,2020,Chargers,12,2,217,78
2020,2020,Chiefs,16,2,259,50
2020,2020,Colts,15,4,266,50
2020,2020,Cowboys,10,0,108,43
2020,2020,Dolphins,18,0,146,29
2020,2020,Eagles,8,1,101,30
2020,2020,Falcons,12,1,204,67
2020,2020,Redskins,16,2,136,76
2020,2020,Giants,11,1,101,46
2020,2020,Jaguars,12,1,200,53
2020,2020,Jets,10,1,134,35
2020,2020,Lions,7,0,65,36
