Years,Date,Teams,W,L,T,Super Bowl,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
2021,2021,Bills,11,6,0,0,0.647,483,289,194,6 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,4 - 1 - 0,4W,4 - 1 - 0
2021,2021,Dolphins,9,8,0,0,0.529,341,373,-32,6 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,3 - 2 - 0,1W,4 - 1 - 0
2021,2021,Patriots,10,7,0,0,0.588,462,303,159,4 - 5 - 0,6 - 2 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,2 - 3 - 0,1L,2 - 3 - 0
2021,2021,Jets,4,13,0,0,0.235,310,504,-194,3 - 6 - 0,1 - 7 - 0,0 - 6 - 0,0,4 - 8 - 0,0.333,0 - 5 - 0,2L,1 - 4 - 0
2021,2021,Bengals,10,7,0,0,0.588,460,376,84,5 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 3 - 0,1L,3 - 2 - 0
2021,2021,Steelers,9,7,1,0,0.559,343,398,-55,6 - 2 - 1,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 1,2W,3 - 2 - 0
2021,2021,Browns,8,9,0,0,0.471,349,371,-22,6 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 2 - 0,1W,2 - 3 - 0
2021,2021,Ravens,8,9,0,0,0.471,387,392,-5,5 - 4 - 0,3 - 5 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,3 - 2 - 0,6L,0 - 5 - 0
2021,2021,Titans,12,5,0,0,0.706,419,354,65,7 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,4 - 1 - 0,3W,4 - 1 - 0
2021,2021,Colts,9,8,0,0,0.529,451,365,86,4 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 3 - 0,2L,3 - 2 - 0
2021,2021,Texans,4,13,0,0,0.235,280,452,-172,2 - 7 - 0,2 - 6 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,0 - 5 - 0,2L,2 - 3 - 0
2021,2021,Jaguars,3,14,0,0,0.176,253,457,-204,3 - 6 - 0,0 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,0 - 5 - 0,1W,1 - 4 - 0
2021,2021,Chiefs,12,5,0,0,0.706,480,364,116,7 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,5 - 0 - 0,1W,4 - 1 - 0
2021,2021,Raiders,10,7,0,0,0.588,374,439,-65,5 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,2 - 3 - 0,4W,4 - 1 - 0
2021,2021,Chargers,9,8,0,0,0.529,474,459,15,5 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,3 - 2 - 0,1L,2 - 3 - 0
2021,2021,Broncos,7,10,0,0,0.412,335,322,13,4 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,4 - 1 - 0,4L,1 - 4 - 0
2021,2021,Cowboys,12,5,0,0,0.706,530,358,172,5 - 3 - 0,7 - 2 - 0,6 - 0 - 0,1,10 - 2 - 0,0.833,2 - 3 - 0,1W,4 - 1 - 0
2021,2021,Eagles,9,8,0,0,0.529,444,385,59,3 - 5 - 0,6 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 3 - 0,1L,4 - 1 - 0
2021,2021,Redskins,7,10,0,0,0.412,335,434,-99,3 - 5 - 0,4 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,1 - 4 - 0,1W,1 - 4 - 0
2021,2021,Giants,4,13,0,0,0.235,258,416,-158,3 - 5 - 0,1 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 4 - 0,6L,0 - 5 - 0
2021,2021,Packers,13,4,0,0,0.765,450,371,79,8 - 0 - 0,5 - 4 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,4 - 1 - 0,1L,4 - 1 - 0
2021,2021,Vikings,8,9,0,0,0.471,425,426,-1,5 - 3 - 0,3 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,2 - 3 - 0,1W,3 - 2 - 0
2021,2021,Bears,6,11,0,0,0.353,311,407,-96,3 - 5 - 0,3 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 3 - 0,1L,2 - 3 - 0
2021,2021,Lions,3,13,1,0,0.206,325,467,-142,3 - 5 - 0,0 - 8 - 1,2 - 4 - 0,0.333,3 - 9 - 0,0.25,0 - 4 - 1,1W,2 - 3 - 0
2021,2021,Buccaneers,13,4,0,1,0.765,511,353,158,7 - 1 - 0,6 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,5 - 0 - 0,3W,4 - 1 - 0
2021,2021,Saints,9,8,0,0,0.529,364,335,29,3 - 5 - 0,6 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 3 - 0,2W,4 - 1 - 0
2021,2021,Falcons,7,10,0,0,0.412,313,459,-146,2 - 6 - 0,5 - 4 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 2 - 0,2L,2 - 3 - 0
2021,2021,Panthers,5,12,0,0,0.294,304,404,-100,2 - 6 - 0,3 - 6 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,2 - 3 - 0,7L,0 - 5 - 0
2021,2021,Rams,12,5,0,0,0.706,460,372,88,5 - 3 - 0,7 - 2 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,4 - 1 - 0,1L,4 - 1 - 0
2021,2021,Cardinals,11,6,0,0,0.647,449,366,83,3 - 5 - 0,8 - 1 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 1 - 0,1L,1 - 4 - 0
2021,2021,49ers,10,7,0,0,0.588,427,365,62,4 - 4 - 0,6 - 3 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,3 - 2 - 0,2W,4 - 1 - 0
2021,2021,Seahawks,7,10,0,0,0.412,395,366,29,3 - 5 - 0,4 - 5 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,3 - 2 - 0,2W,3 - 2 - 0
2020,2020,Jets,2,14,0,0,0.125,243,457,-214,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0,1 - 11 - 0,0.083,1 - 3 - 0,1L,2 - 3 - 0
2020,2020,Patriots,7,9,0,0,0.438,326,353,-27,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,1W,2 - 3 - 0
2020,2020,Dolphins,10,6,0,0,0.625,404,338,66,5 - 3 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0
2020,2020,Bills,13,3,0,0,0.813,501,375,126,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1,10 - 2 - 0,0.833,3 - 1 - 0,6W,5 - 0 - 0
